listing_id,date
114786,2016-09-23
114786,2017-01-07
114786,2017-01-26
114786,2017-02-17
114786,2017-04-07
114786,2017-04-18
114786,2017-07-07
114786,2017-07-13
114786,2017-09-04
114786,2018-04-01
114786,2018-04-23
114786,2018-05-22
114786,2018-06-19
114786,2018-08-22
114786,2018-10-23
114786,2019-01-28
114786,2019-02-04
114786,2019-02-23
114786,2019-03-11
114786,2019-04-14
114786,2019-04-17
114786,2019-04-25
114786,2019-05-06
114786,2019-05-11
114786,2019-05-17
114786,2019-05-29
114786,2019-06-14
127912,2012-08-28
127912,2013-04-01
127912,2013-04-29
127912,2015-06-25
127912,2015-07-21
127912,2015-07-28
127912,2015-11-01
127912,2016-01-03
127912,2017-07-31
127912,2018-04-28
127912,2018-05-29
127912,2018-06-20
127912,2018-07-08
127912,2018-07-22
127912,2018-09-16
127912,2018-09-24
127912,2018-10-01
127912,2018-10-10
127912,2019-01-06
127912,2019-02-20
127912,2019-03-01
127912,2019-04-09
127912,2019-04-17
127912,2019-04-27
127912,2019-05-03
127912,2019-06-11
130225,2012-08-04
130231,2011-07-14
130231,2011-08-16
130231,2011-08-22
130231,2011-09-08
130231,2011-09-13
130231,2018-11-06
130231,2019-01-03
135956,2011-09-18
135956,2012-04-05
135956,2012-04-18
135956,2012-05-14
135956,2012-05-26
135956,2012-06-24
135956,2012-08-29
135956,2013-02-05
135956,2014-07-14
135956,2014-09-02
135956,2014-10-01
135956,2015-03-01
135956,2015-07-04
135956,2015-08-21
135956,2015-08-30
135956,2015-09-06
135956,2015-10-01
135956,2016-03-01
135956,2016-09-02
135956,2016-10-16
135956,2017-02-01
135956,2017-03-01
135956,2018-10-01
139351,2018-04-02
139351,2018-04-17
139351,2018-04-24
139351,2018-05-05
139351,2018-05-22
139351,2018-05-26
139351,2018-06-27
139351,2018-07-30
139351,2018-09-17
139351,2018-09-25
139351,2018-10-05
139351,2018-10-13
139351,2018-10-27
139351,2018-11-02
139351,2018-12-14
139351,2018-12-24
139351,2018-12-30
139351,2019-01-04
139351,2019-02-28
139351,2019-04-02
139351,2019-04-18
139351,2019-04-27
139351,2019-05-04
139351,2019-06-02
139351,2019-06-09
139351,2019-06-20
140269,2011-07-11
140269,2011-08-27
140269,2011-09-09
140269,2011-09-22
140269,2011-09-27
140269,2011-10-01
140269,2011-10-11
140269,2011-10-23
140269,2011-10-28
140269,2011-11-03
140269,2011-11-08
140269,2011-11-16
140269,2011-12-29
140269,2012-01-20
140269,2012-03-07
140269,2012-03-12
140269,2012-03-19
140269,2012-03-21
140269,2012-03-26
140269,2012-03-29
140269,2012-04-05
140269,2012-04-15
140269,2012-04-27
140269,2012-04-30
140269,2012-05-06
140269,2012-05-15
140269,2012-05-21
140269,2012-05-28
140269,2012-05-30
140269,2012-06-03
140269,2012-06-05
140269,2012-06-08
140269,2012-06-19
140269,2012-07-04
140269,2012-07-09
140269,2012-07-16
140269,2012-07-19
140269,2012-07-31
140269,2012-08-07
140269,2012-08-12
140269,2012-08-20
140269,2012-08-22
140269,2012-08-26
140269,2012-08-31
140269,2012-09-06
140269,2012-09-09
140269,2012-09-14
140269,2012-09-21
140269,2012-09-25
140269,2012-10-02
140269,2012-10-08
140269,2012-10-19
140269,2012-10-24
140269,2012-11-04
140269,2012-12-11
140269,2012-12-28
