id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2457053,Cozy&Central Studio Apartment,468624,Isil,,Beyoglu,41.03255,28.98363,Entire home/apt,624,1,0,,,8,365
2457283,Dublex Apartment in Cihangir,468624,Isil,,Beyoglu,41.03169,28.98357,Entire home/apt,757,1,2,2014-03-31,0.03,8,365
2458860,FUAREV LUX FLAT NEAR AIRPORT 84M2,3640298,Fuarev,,Kucukcekmece,41.03554,28.77022,Entire home/apt,387,2,2,2014-07-18,0.03,3,332
2459421,Beyoglu Suit with Double Terraces,12574816,Calanthe,,Beyoglu,41.04065,28.98107,Private room,347,2,0,,,3,0
2462714,Suen Apart,12594621,Mehmet Fasih,,Beyoglu,41.03038,28.97933,Entire home/apt,462,1,0,,,1,365
2464448,One-Bedroom Apartment with Sofa Bed,11120250,Amida HOUSE,,Fatih,41.01232,28.98301,Private room,659,1,5,2015-10-13,0.08,2,365
2469901,Şişli apart daire 2+1,2865901,Taceddin,,Sisli,41.0517,28.98778,Entire home/apt,329,7,0,,,2,365
2476233,Sultanahmet Sunny Apartment with sea view,2099221,Nahide,,Fatih,41.00616,28.97133,Entire home/apt,589,3,84,2019-06-23,1.65,4,274
2479896,Apartment ( 2 adults ),11120250,Amida HOUSE,,Fatih,41.00407,28.97901,Entire home/apt,260,1,11,2017-11-18,0.22,2,365
2483040,Cozy Studio in Taksim,9514105,Volkan,,Beyoglu,41.03563,28.97476,Entire home/apt,162,2,61,2019-06-13,0.95,21,315
2485418,Central Amazing Bosphorus view!,3242731,Nartere At Gm,,Beyoglu,41.03363,28.99135,Entire home/apt,659,1,6,2015-06-18,0.10,2,365
2488438,Apartment - Near Sultanahmed 80 sqm,12735350,Enes,,Fatih,41.00401,28.96181,Entire home/apt,347,2,63,2019-05-16,1.01,1,271
2492127,Warm family home,12753218,Nec,,Sariyer,41.12168,29.03355,Private room,133,2,0,,,1,365
2492835,Tastefully Designed Historical Top Floor w Seaview,12756893,Demir,,Kadikoy,40.99513,29.02452,Entire home/apt,352,2,32,2019-06-11,2.71,6,327
2497610,FLATS FOR RENT İN TAKSİM SQUARE(5),12329961,Deniz,,Beyoglu,41.03808,28.98154,Entire home/apt,202,1,2,2018-03-14,0.07,5,365
2505488,Penthouse Suit With Roof,4827459,Güven,,Beyoglu,41.02706,28.98102,Entire home/apt,329,2,0,,,5,357
2508384,Economical & well located apartment,8091932,Özden,,Fatih,41.01331,28.93578,Private room,133,1,21,2018-04-19,0.33,2,365
2516939,Lovely apartment with easy access,12885928,Asuman,,Kadikoy,40.99559,29.02534,Entire home/apt,202,3,2,2016-03-07,0.04,1,358
2521505,Home sweet home :),12908780,Ozan,,Uskudar,41.01254,29.05694,Private room,98,1,0,,,1,365
2523261,Cosy house at the city center,12919150,Elif,,Beyoglu,41.0339,28.98762,Entire home/apt,283,2,11,2019-06-20,0.98,1,71
2524918,elegant flat in central Istanbul,12927783,Yücel,,Sisli,41.05076,28.99722,Entire home/apt,196,3,1,2014-09-23,0.02,1,0
2525342,"Woohooo sweet, colored, cosy room!",10333851,Betül,,Besiktas,41.04731,28.99951,Private room,116,1,3,2014-08-27,0.05,1,365
2525566,Moda Suites,12931607,Moda,,Kadikoy,40.98333,29.03236,Private room,919,1,0,,,1,365
2527374,OTTOMAN APARTELE SUITES-3,8218491,Cuneyt,,Fatih,41.00389,28.96348,Entire home/apt,659,12,35,2018-02-19,0.55,6,364
2528830,Room of dublex flat f rent/Besiktas,12949652,Dilek,,Besiktas,41.04259,28.99787,Private room,214,3,3,2015-02-07,0.05,2,365
2530650,Nice Flat İn Cihangir,12959126,Sernaz,,Beyoglu,41.0293,28.98113,Entire home/apt,260,2,0,,,1,365
2534096,CIHANGIR CEYLAN SUITE HOTEL,12978525,Cihangir Ceylan Suite Hotel,,Beyoglu,41.03195,28.98757,Private room,352,1,0,,,1,365
2534561,Beautiful House Top Floor Central Sisli,12980005,Begum,,Sisli,41.06301,28.98875,Private room,260,1,0,,,1,365
2535691,Luxury Suite Appartement in Galata!,12984829,Tufan,,Beyoglu,41.02775,28.97433,Entire home/apt,786,1,0,,,1,365
2535792,Sahrayıcedit'te tek kişilik oda,11798264,Dilara,,Kadikoy,40.98068,29.07785,Private room,329,1,0,,,1,365
2538085,Sweet Flat,7760946,Eda,,Kagithane,41.0892,28.98092,Private room,116,1,2,2014-04-15,0.03,2,358
2540638,"",3974826,Ogulcan,,Besiktas,41.08341,29.03731,Entire home/apt,826,4,0,,,1,362
2545244,Cosy flat Cihangir-Taksim with view,13031342,Viki,,Beyoglu,41.0338,28.9856,Entire home/apt,248,3,4,2015-09-11,0.07,3,348
2545351,1BEDR 1BATH 8 minute walk historical area 4 adult,4733924,Cesim,,Fatih,41.00567,28.97172,Entire home/apt,324,2,2,2019-06-14,0.86,6,365
2546669,Vegan enviromental home&great view,13039440,Yucel,,Zeytinburnu,41.0304,28.9093,Private room,150,3,1,2014-10-28,0.02,1,365
2547948,1+1 Economic 8 minute walk historical area 2 adult,4733924,Cesim,,Fatih,41.00512,28.97136,Entire home/apt,289,3,16,2019-06-16,0.36,6,358
2557519,room at akaretler - besiktas,13093820,Sinem,,Besiktas,41.04194,29.00049,Private room,329,1,0,,,1,365
2559532,Room for rent in Mecidiyekoy,13103897,Anıl Can,,Sisli,41.07183,28.99964,Private room,81,1,0,,,1,365
2565689,FLATS FOR RENT İN TAKSİM SQUARE(4),12329961,Deniz,,Beyoglu,41.03826,28.9847,Entire home/apt,202,1,1,2015-05-16,0.02,5,365
2565766,FLATS FOR RENT İN TAKSİM SQUARE(3),12329961,Deniz,,Beyoglu,41.03772,28.98614,Entire home/apt,202,1,9,2019-05-11,0.17,5,365
2565792,FLATS FOR RENT İN TAKSİM SQUARE(2),12329961,Deniz,,Beyoglu,41.03763,28.98632,Entire home/apt,202,1,3,2015-06-08,0.05,5,180
2565833,Bosphorus and Maiden's tower,13135564,Burak,,Uskudar,41.02391,29.00821,Entire home/apt,988,1,0,,,1,365
2569799,Cozy&Comfy&Centric Double Room,8910470,Önder,,Sisli,41.07358,28.99011,Private room,75,1,4,2014-05-30,0.06,1,344
2575355,{Berry} Galata Tower Concept - With Hammam,1938185,Güner - Berivan - Erdal,,Beyoglu,41.03617,28.97454,Entire home/apt,156,2,62,2019-06-24,0.97,18,350
2578222,Cozy Double Room Flat in Taksim,9514105,Volkan,,Beyoglu,41.03577,28.97401,Entire home/apt,196,2,84,2019-06-17,1.32,21,293
2579830,Bright Spacious 2 Bedroom Apartment,1162049,Basak,,Besiktas,41.04629,29.00134,Entire home/apt,751,1,7,2014-10-13,0.11,1,0
2595654,Wanna Experience Real Airbnb? 2. Rm,2000529,Ga Ke,,Kadikoy,40.9851,29.05389,Private room,196,1,2,2015-07-22,0.03,2,365
2596345,A newly decorated central house ,13294973,Duygu,,Sisli,41.06256,28.99687,Entire home/apt,329,1,0,,,2,365
2596728,Fancy flat in the center,13294973,Duygu,,Sisli,41.06334,28.99893,Entire home/apt,329,10,11,2018-10-16,0.19,2,364
2598000,"cozy city scape, Istanbul.",13304309,Berta,,Besiktas,41.04375,28.99822,Entire home/apt,659,3,0,,,1,365
2604854,Orient Express☆☆☆ Bridge&Sea View!,145810,Tony,,Beykoz,41.0861,29.07322,Private room,133,1,2,2017-06-29,0.07,8,0
2606944,Nisantasi - Central located flat/ Tesvikiye,2367795,Ayca,,Besiktas,41.04956,28.99852,Entire home/apt,202,5,7,2018-06-19,0.14,1,349
2607163,Y.M.B.B. 13 Welcomes You With Love!,145810,Tony,,Beykoz,41.08524,29.07481,Private room,104,1,18,2018-10-08,0.29,8,180
2607333,Amazon Room! Lush Forest View quiet,145810,Tony,,Beykoz,41.0873,29.07546,Private room,121,2,2,2018-08-18,0.04,8,179
2607390,Purple Haze Garden&Fountain Room!,145810,Tony,,Beykoz,41.08672,29.07422,Private room,110,1,2,2015-01-14,0.03,8,180
2613540,Loft with beautiful views,13383362,Massimo,,Beyoglu,41.03868,28.97564,Entire home/apt,462,3,0,,,1,365
2614081,Brand new suite with new furniture,13385867,Ozlem,,Bahcelievler,41.01052,28.81288,Entire home/apt,462,5,2,2018-08-18,0.03,1,365
2615930,Sunflower Room! YMBB13,145810,Tony,,Beykoz,41.08619,29.07505,Private room,87,1,2,2018-06-11,0.06,8,179
2623824,"",12943635,Emir Rauf,,Kadikoy,40.96709,29.07212,Private room,289,1,0,,,1,0
2626232,Cosy 1+1 Studio Apartment in Taksim (Renovated),13385335,Yakup & Tayfun,,Beyoglu,41.03692,28.98487,Entire home/apt,168,4,76,2019-06-11,1.30,1,150
2630989,TAKSIM/CIHANGIR Funished 1-BED ,13476152,Nevhayat,,Beyoglu,41.03407,28.98164,Entire home/apt,399,1,1,2014-08-17,0.02,1,365
2631092,Great Mulberry Room! Females Only.,145810,Tony,,Beykoz,41.08579,29.07341,Private room,98,2,2,2016-09-26,0.03,8,180
2632557,NEVİZADE 'DE YENİLENMİŞ ULTRA LUX 2,4406078,Bora,,Beyoglu,41.03553,28.97816,Entire home/apt,578,1,0,,,8,365
2637774,Istanbul Property Management - Taksim 82 Duplex,6379672,Istanbul Property Management - Elys,,Sisli,41.04238,28.9837,Entire home/apt,514,2,16,2019-04-16,0.27,3,2
2639794,Home at Boğazkesen Street,13516815,Özlem,,Beyoglu,41.02915,28.97897,Private room,202,2,0,,,1,365
2640583,Double Deluxe Suite Sultanahmet,13520466,Bedirhan,,Fatih,41.00403,28.96954,Private room,324,1,146,2019-06-13,2.33,4,352
2640854,Triple Deluxe Suite Sultanahmet,13520466,Bedirhan,,Fatih,41.00405,28.96788,Entire home/apt,324,1,106,2019-06-21,1.88,4,351
2640888,4 Pax Deluxe  Suite Sultanahmet,13520466,Bedirhan,,Fatih,41.00555,28.96817,Private room,387,1,93,2019-06-26,1.57,4,343
2646659,NEVİZADE'DE YENİLENMİŞ ULTRA LUX,4406078,Bora,,Beyoglu,41.03638,28.97826,Entire home/apt,578,1,0,,,8,365
2647081,İstanbul Taksim Stylish 2 Bedroom,5875318,Emre,,Beyoglu,41.03714,28.98409,Entire home/apt,295,3,107,2019-06-04,1.69,1,277
2647386,NEVİZADE'DE YENİLENMİŞ ULTRA LUX 3,4406078,Bora,,Beyoglu,41.03525,28.97791,Entire home/apt,405,1,0,,,8,365
2647446,NEVİZADE'DE YENİLENMİŞ ULTRA LUX 4,4406078,Bora,,Beyoglu,41.03684,28.97859,Entire home/apt,405,1,0,,,8,365
2647501,NEVİZADE'DE YENİLENMİŞ ULTRA LUX 5,4406078,Bora,,Beyoglu,41.0369,28.98015,Entire home/apt,405,1,0,,,8,365
2647582,NEVİZADE'DE YENİLENMİŞ ULTRA LUX 6,4406078,Bora,,Beyoglu,41.03651,28.97811,Entire home/apt,405,1,0,,,8,365
2647654,NEVİZADE'DE YENİLENMİŞ ULTRA LUX 7,4406078,Bora,,Beyoglu,41.03697,28.97808,Entire home/apt,405,1,0,,,8,365
2647710,NEVİZADE'DE YENİLENMİŞ ULTRA LUX 8,4406078,Bora,,Beyoglu,41.03542,28.97976,Entire home/apt,405,1,0,,,8,365
2648434,Peaceful Private Room in Galata,10674008,Besana,,Beyoglu,41.02855,28.97553,Private room,260,2,10,2015-05-05,0.16,2,0
2658320,Large Room&Terrace-Central in Kadikoy,13604613,Ugur,,Kadikoy,40.98779,29.03252,Private room,81,3,8,2019-06-14,1.13,1,321
2661553,Historical Room in Maison@Cihangir,3885412,Idil,,Beyoglu,41.03119,28.98612,Entire home/apt,352,3,0,,,1,333
2667231,CITY SUITE ROOMS IN TAKSIM,10509967,Umit,,Beyoglu,41.03388,28.98597,Entire home/apt,636,3,0,,,6,365
2668267,Fresh Air in the Forest,13658641,Anthony,,Beykoz,41.06126,29.16853,Private room,64,2,0,,,1,88
2669871,cozy flat in the center of taksim/2,12431521,Züleyha,,Beyoglu,41.03137,28.97822,Private room,329,1,2,2015-04-27,0.03,2,365
2670235,SISLI PENTHOUSE SINGLE/DOUBLE BEDS,13555560,Ali,,Sisli,41.06035,28.98486,Entire home/apt,254,7,23,2016-05-22,0.37,14,88
2672866,New Moon Flats For Rent,13685025,Mehmet Ali,,Fatih,41.004,28.97238,Entire home/apt,988,3,0,,,1,365
2681229,X Flats - One Bedroom Apartment,1585558,Mert,,Beyoglu,41.02815,28.97282,Entire home/apt,329,1,9,2016-06-27,0.14,11,0
2681813,X Flats - Two Bedroom Apartment,1585558,Mert,,Beyoglu,41.02827,28.97373,Entire home/apt,329,1,13,2016-06-27,0.26,11,0
2682678,Two Bedroom Apartment Basement ,13733426,Saim,,Fatih,41.00446,28.97177,Private room,393,1,11,2015-12-21,0.22,2,365
2682827,"",13733426,Saim,,Fatih,41.00325,28.97127,Entire home/apt,428,2,14,2015-12-01,0.24,2,365
2684992,Galata and Bosphorus View Luxurious,1008208,Burak,,Beyoglu,41.02442,28.97393,Entire home/apt,341,180,14,2015-08-10,0.24,1,358
2690791,SISLI RESIDENCE PENTHOUSE,13555560,Ali,,Sisli,41.05835,28.98503,Entire home/apt,254,30,39,2017-09-30,0.62,14,88
2694066,SISLI RESIDENCE AVENUE#9,13555560,Ali,,Sisli,41.06065,28.98529,Entire home/apt,283,28,24,2016-12-07,0.39,14,241
2698728,Private Cosy Room  Twin Beds 104,13811117,Erdin,,Beyoglu,41.03709,28.98286,Private room,156,1,38,2018-07-19,0.75,5,364
2699341,Old Panorama Hotel İstanbul,7039315,Kenan Tan,,Fatih,41.01507,28.9797,Private room,300,1,0,,,1,365
2700139,ELMADAG SUITES 3 MINUTES TO TAKSIM,10509967,Umit,,Sisli,41.04253,28.98435,Entire home/apt,722,3,0,,,6,365
2701354,istanbul Taksim Green House Hostel and Apart,6086676,Talat,,Sisli,41.04167,28.98642,Entire home/apt,451,1,1,2014-05-20,0.02,18,0
2701465,KADIKÖY MERKEZ,13824407,Sema,,Kadikoy,40.99619,29.02983,Private room,162,1,1,2014-06-02,0.02,1,365
2701547,Hotel Deluxe Old Panorama ,13823033,Kenan,,Fatih,41.0145,28.97976,Private room,803,1,0,,,1,365
2704631,SISLI RESIDENCE COURTYARD #10,13555560,Ali,,Sisli,41.06153,28.98459,Entire home/apt,283,21,14,2018-08-01,0.23,14,241
2708036,"Luxury renovated, Proper Flat- Beyoglu 1",13858046,Mersin,,Beyoglu,41.02681,28.97879,Entire home/apt,237,4,31,2017-07-15,0.49,5,335
2718153,One time apt,13910185,Alexandra,,Eyup,41.05141,28.91751,Private room,220,1,0,,,1,0
2718628,2+1 luxury apart in Taksim,13912377,İbrahim,,Beyoglu,41.0353,28.98611,Entire home/apt,688,1,0,,,1,365
2718672,In the centre with Bosphorus view!,13912625,Alihan,,Beyoglu,41.03547,28.9916,Private room,364,1,0,,,1,365
2718872,Airy apt. in Cihangir with a view,10266646,Seyma,,Beyoglu,41.03134,28.9811,Entire home/apt,462,1,4,2014-09-12,0.06,1,0
2724572,COMPLIMENTARY WINE & CHILD FRIENDLY,1467448,April,,Sisli,41.05703,28.98695,Entire home/apt,231,2,20,2015-09-15,0.32,1,0
2733170,Nisantasi City,13987036,Sercan,,Sisli,41.05074,28.99195,Private room,659,1,0,,,1,365
2738681,3+1 BIZIMKENT EMLAK BANKASI EVİ,14013403,Gökhan,,Beylikduzu,41.0104,28.64165,Entire home/apt,520,1,0,,,1,365
2742619,Fantastic apartment in Taksim with amazing view,14032464,Selcuk,,Beyoglu,41.03485,28.98912,Entire home/apt,578,1,0,,,1,365
